IP:PORT, LOSS, DELAY
[2606:4700:d1::7648:52d7:7151:9b62]:2371,0.00%,194 ms
[2606:4700:d1::7648:52d7:7151:9b62]:878,0.00%,194 ms
[2606:4700:d0::ab8f:f171:2353:d0fc]:878,0.00%,201 ms
[2606:4700:d0::ab8f:f171:2353:d0fc]:2371,0.00%,202 ms
[2606:4700:d1::6abf:c41f:55c7:41c3]:2371,0.00%,204 ms
[2606:4700:d0::9a0d:3c46:0ce6:3f19]:2371,0.00%,206 ms
[2606:4700:d0::560e:2b4c:967c:3af9]:878,0.00%,206 ms
[2606:4700:d1::6abf:c41f:55c7:41c3]:878,0.00%,206 ms
[2606:4700:d0::013c:a238:2536:3dfa]:2371,0.00%,208 ms
[2606:4700:d0::013c:a238:2536:3dfa]:878,0.00%,209 ms
[2606:4700:d0::560e:2b4c:967c:3af9]:2371,0.00%,212 ms
[2606:4700:d1::36e3:c63e:c212:3375]:878,0.00%,213 ms
[2606:4700:d1::9d77:dcdb:ed6a:ff77]:2371,0.00%,214 ms
[2606:4700:d1::9d77:dcdb:ed6a:ff77]:878,0.00%,214 ms
[2606:4700:d1::c7e0:7851:0f27:aef2]:878,0.00%,214 ms
[2606:4700:d1::571e:8985:dcc4:5a0f]:878,0.00%,215 ms
[2606:4700:d0::2041:0efd:64d3:c2cf]:878,0.00%,216 ms
[2606:4700:d0::618d:016c:b6c6:7a0c]:2371,0.00%,216 ms
[2606:4700:d0::432d:766d:3124:03bf]:2371,0.00%,216 ms
[2606:4700:d0::2041:0efd:64d3:c2cf]:2371,0.00%,216 ms
[2606:4700:d0::2b05:af56:99ee:6695]:2371,0.00%,216 ms
[2606:4700:d0::c933:81d1:d028:257f]:878,0.00%,217 ms
[2606:4700:d1::d6f6:ca3a:02b0:5ebc]:2371,0.00%,217 ms
[2606:4700:d0::7622:7e95:bce8:5e8c]:878,0.00%,217 ms
[2606:4700:d1::36e3:c63e:c212:3375]:2371,0.00%,217 ms
[2606:4700:d1::ce43:fc35:c3ac:16f7]:2371,0.00%,217 ms
[2606:4700:d1::30b7:e5a0:e239:ac46]:878,0.00%,217 ms
[2606:4700:d1::30b7:e5a0:e239:ac46]:2371,0.00%,217 ms
[2606:4700:d1::c7e0:7851:0f27:aef2]:2371,0.00%,217 ms
[2606:4700:d0::32fc:ad40:5711:cbcc]:878,0.00%,218 ms
[2606:4700:d0::2b05:af56:99ee:6695]:878,0.00%,218 ms
[2606:4700:d0::618d:016c:b6c6:7a0c]:878,0.00%,218 ms
[2606:4700:d0::32fc:ad40:5711:cbcc]:2371,0.00%,218 ms
[2606:4700:d1::b2ff:4574:2883:21f2]:878,0.00%,219 ms
